Passenger ID,Longest Run
288,19
1677,19
721,19
9441,19
4632,18
2437,18
2068,18
6084,18
7643,18
2867,18
3608,18
8961,18
1337,17
628,17
8988,17
3367,17
8353,17
2516,17
2185,17
157,17
2857,17
8411,17
1651,17
1074,17
5416,17
798,17
2441,17
92,17
8149,17
1266,17
3173,17
888,17
772,17
2378,17
525,17
739,17
3117,17
2939,17
2262,17
950,17
3309,17
5668,17
2544,16
1158,16
10795,16
878,16
3545,16
3880,16
1265,16
1482,16
4249,16
917,16
2713,16
211,16
6777,16
5096,16
7645,16
942,16
381,16
3867,16
2277,16
392,16
2969,16
5769,16
3119,16
3078,16
4772,16
3409,16
3802,16
773,16
2717,16
7162,16
10329,16
1464,16
7837,16
4502,16
4827,16
167,16
1598,16
4200,16
2518,16
4641,16
6036,16
5731,16
7662,16
3041,16
3024,16
1240,16
2251,16
7327,16
4774,16
4816,16
3837,16
7433,16
6294,16
437,16
839,16
459,16
4335,16
3924,16
1769,16
4552,16
3021,15
760,15
1818,15
276,15
8981,15
9540,15
4496,15
2886,15
3820,15
9300,15
9410,15
6113,15
1800,15
8590,15
6382,15
3527,15
2254,15
8642,15
7581,15
1581,15
905,15
5643,15
1242,15
4082,15
2910,15
9252,15
1057,15
407,15
3600,15
7853,15
8358,15
5423,15
3650,15
8105,15
5743,15
3486,15
5380,15
2482,15
2272,15
5711,15
3279,15
5447,15
2408,15
662,15
2292,15
264,15
2734,15
7590,15
2789,15
843,15
2489,15
10461,15
3590,15
281,15
391,15
1733,15
335,15
5303,15
362,15
649,15
2065,15
2446,15
848,15
8529,15
1029,15
5007,15
932,15
2212,15
6027,15
4441,15
749,15
5716,15
1025,15
3112,15
2747,15
5560,15
11198,15
8679,15
1023,15
4611,15
4217,15
1617,15
5490,15
6447,15
5332,15
813,15
517,15
258,15
139,15
763,15
1994,15
2123,15
10569,15
5009,15
2155,15
5796,15
833,15
1673,15
210,15
2201,15
3560,15
3177,15
664,15
5867,15
8363,15
3405,15
364,15
972,15
3883,14
1369,14
5136,14
479,14
2412,14
1315,14
9676,14
2231,14
5842,14
3153,14
8045,14
5361,14
2035,14
3332,14
4247,14
7068,14
1196,14
2548,14
1254,14
7877,14
5866,14
9480,14
7209,14
870,14
6365,14
1641,14
4460,14
3180,14
4903,14
4454,14
3670,14
3453,14
3093,14
2964,14
6591,14
1351,14
3243,14
4379,14
5819,14
7533,14
920,14
5012,14
8375,14
8078,14
1338,14
366,14
4031,14
1343,14
5002,14
2528,14
2758,14
8048,14
435,14
4080,14
1740,14
5330,14
8562,14
5081,14
420,14
8704,14
1942,14
3242,14
2504,14
1263,14
8013,14
5481,14
8036,14
3937,14
